public_report_id,category,record_date_utc,status,sha256
R00001,OTHER,2026-08-06,HASH_NOT_PUBLISHED,
R00002,TEST,2026-08-31,REGISTERED,66d75787c6d3a68bfa9730c8446d66ffadb30f1915378b301a5ef5468d4a435d
R00003,TEST,2026-08-31,REGISTERED,fbca2860b43468cee1cbba7737207e531e5a77b6bcb1dc101739f0eefbda9737
R00004,TEST,2026-08-31,REGISTERED,44e0dfa1914388603b4c09ce5fdc17d0076df6505d9838b64f67807a70e74317
R00005,TEST,2026-08-31,REGISTERED,de988991888c510ecbc5db447b1dfcc9cc63c76f848c8ecb55a1c20b2d532695
R00006,TEST,2026-08-31,REGISTERED,e322afa8211098553a77e68e4a85beebfc713547dd022c0dce4156d2b5f6dd95
R00007,TEST,2026-08-31,REGISTERED,75e0f8cf2dc2b5c0f6a9bcffe98570cc64c39e43aaab673b70f2e772c90c7caa
R00008,TEST,2026-08-31,REGISTERED,ea195ee64eca9cccc7e9a17b3ccdde0bdaf9e02d14070d30793e39b8b4d16611
R00009,TEST,2026-08-31,REGISTERED,5f1aa19fa70e1897e2465dc9c21d564683e72f80707408ea26b769768b28791f
R00010,TEST,2026-08-31,REGISTERED,190366308a016f6a3f063f629bcf8968104209295d668f2053a30e95536e066c
R00011,TEST,2026-08-31,REGISTERED,2a5a20fc86f8c983d8f42b4b8b223af75634385e5b7aea2d42c7c11cbe2a3000
R00012,DELIVERY,2026-08-31,REGISTERED,4317570a804fbe10d79715e190e1f7ee4889ab0a1a47469072252031f6bcddbb
R00013,DELIVERY,2026-08-31,REGISTERED,16b27635c0064ced5e12e2baca4f7dd587901b0e23257a6937cc57deef9e7a3f
R00014,DELIVERY,2026-08-31,REGISTERED,7f8519331b1dc8b05845f641bbee9d145bbcf357056550547ef0b5a654046e28
R00015,DELIVERY,2026-08-31,REGISTERED,771e4ec902be5b62598c9405e3a97cc2fd25b01222ec621077f03bd60aca8d13
R00016,TEST,2026-08-31,REGISTERED,d899941b6cd776e5f4e4c722d53aa102426542078f95a401c73f61bc123d35e9
R00017,DELIVERY,2026-08-31,REGISTERED,e87c3cc3e7ee2d4c5bb982cd91e25bba72fd463ee05687b845b2d1d6a4ae0c23
R00018,TEST,2026-08-31,REGISTERED,95fd4359a798eae7899bde2369b44957114e6452a3b7158ffa8328db812b1f8b
R00019,TEST,2026-08-31,REGISTERED,296cf18a2e969e6c1b8c58c313fe11073bb8cee408000d3bb6915ec318002cf4
R00020,TEST,2026-08-31,REGISTERED,907e45f38567f4e0cff4db311a0b241874870283a836704b851f6aabb357b780
R00021,OTHER,2026-08-28,REGISTERED,72e092ed69a5882ae4e49e6e15ab438cbbad921bc0243824001db9ecd3aeb59b
R00022,OTHER,2026-08-31,REGISTERED,e4e7bec1392511e7f46201baec01631093475bd0e6c7b9226e9ad14beb888d28
R00023,OTHER,2026-08-31,REGISTERED,5222e46ba441d9dedebe3a7fcf1b2f13794c8cccc996fd206a34b036b8588ff7
R00024,OTHER,2026-08-31,REGISTERED,a58739f44e4b3dcb4d5071636e6ddb255fae3068289d5778ecea505cc5d5a857
R00025,OTHER,2026-08-31,REGISTERED,a8576c2d09b066f5dbec96127922811cb4253e756b904e284f419b8c5ad75e98
R00026,OTHER,2026-08-31,REGISTERED,30382de04ed712f747abc34dbe4a0fbea9ce0c20b013006e02eedf13a10ea6b7
R00027,OTHER,2026-08-31,REGISTERED,aa87a84ebb9ddd8ae11e10063a8a79c8aa866a08c8abedd693911d90e15b9a54
R00028,OTHER,2026-08-31,REGISTERED,03e57c5f3ca57c1591f0cce025eadc4258fa83dca18bc0841902bccbc756f53e
R00029,OTHER,2026-08-31,REGISTERED,b7e6f8e4a374ca4bfdacbfa356089ad1684d7e671005245a117d471180e8c9db
R00030,OTHER,2026-08-31,REGISTERED,c579503da1095773b743a45e74db0bf8b6d3852ab0ecc198e75ce841e5a7a932
R00031,OTHER,2026-08-31,REGISTERED,682a9b45a1e1f4e137ff45a57ae3bf79ef7ec1539d971ad5311d913ffae21983
R00032,OTHER,2026-08-31,REGISTERED,09181ee5093514c8623a921b04dbc90dd121d6f466a06a6ae12ca88d5690f4bd
R00033,OTHER,2026-08-31,REGISTERED,656dbad9d745adb264c6657ae21f3b6357a3f717fbabd37f7ecb26eda499908e
R00034,OTHER,2026-08-31,REGISTERED,1e4730695fdcb23fa3542432f5ee0187e5405b7e54071565e48e70cce6a18981
R00035,OTHER,2026-08-31,REGISTERED,f14e26141009972177d46ddbaec7b7c37854b547497d384380bd88f90c345f7b
R00036,OTHER,2026-08-30,REGISTERED,6b6fe0bae7694cb238025fb8d8de3648e761361f9479aac69dca80fd5e43a0b2
R00037,OTHER,2026-08-30,REGISTERED,b23a168ada6677118f20c7c620d29677ae167ae71857a226d4115ad68cb764bd
