public_report_id,category,record_date_utc,status,sha256
R00001,OTHER,2026-08-06,HASH_NOT_PUBLISHED,
R00002,OTHER,2026-09-03,REGISTERED,be093ce912ae178198e1e1163a18af4f9a17bb8f4037a19191a595b60087df58
R00003,TEST,2026-08-31,REGISTERED,cf1db5be5ebd9ac3e5a5b702340cd28d368714f0a5c7df6c438244b03f052d40
R00004,TEST,2026-08-31,REGISTERED,ed6e03cdc3b095360b83c51f5be2ee958b63f82a827ddaf79cd7ec38f77c1dec
R00005,TEST,2026-08-31,REGISTERED,0371c6ed1a54586af25821682ffced12e510528902d959af31519a5fac359dc0
R00006,TEST,2026-08-31,REGISTERED,5f246fa67c3384c89a59d67d870342ed5f3fcceb56e0a5d271d70ac2afae10fd
R00007,TEST,2026-08-31,REGISTERED,66d75787c6d3a68bfa9730c8446d66ffadb30f1915378b301a5ef5468d4a435d
R00008,TEST,2026-08-31,REGISTERED,fbca2860b43468cee1cbba7737207e531e5a77b6bcb1dc101739f0eefbda9737
R00009,TEST,2026-08-31,REGISTERED,f9fbea96df841fb6677b5c8771a9ad7fbcc7aa267c4771bc5e3078a7f466b787
R00010,TEST,2026-08-31,REGISTERED,76ce972d17a30f4d51d51d9f55dd640d90ef2f47b0516890d4fca7a65f35da1e
R00011,TEST,2026-08-31,REGISTERED,874ff156d7c00a9d94eebf1c63aa64614d5b2d62c88f32a52f1ea142f06f0e46
R00012,TEST,2026-08-31,REGISTERED,fb36aa953d05b58c51de9549f4dbcaa0b2f9f3f170709821b5f1762d53dbbfc3
R00013,TEST,2026-09-01,REGISTERED,99c87bc5f7c0fce9d37e3b9e1d1d438a0a0868f8ea0a2b4b602f5a7eeacdc4a2
R00014,TEST,2026-09-01,REGISTERED,3f749f7ac6b21baef78d0ed3147833ba52c8aa9c182b402fbfd9226befe47173
R00015,TEST,2026-09-01,REGISTERED,207cfcfa8269eecf41ac5d57ae66539cc78a20f1e85343a2ab2dc7dd25d59276
R00016,TEST,2026-08-31,REGISTERED,44e0dfa1914388603b4c09ce5fdc17d0076df6505d9838b64f67807a70e74317
